#No. Label R G B A
0 unknown 0 0 0 0
1 Left_Frontal_Pole 0 0 179 0
2 Right_Frontal_Pole 0 0 189 0
3 Left_Insular_Cortex 0 0 198 0
4 Right_Insular_Cortex 0 0 208 0
5 Left_Superior_Frontal_Gyrus 0 0 217 0
6 Right_Superior_Frontal_Gyrus 0 0 227 0
7 Left_Middle_Frontal_Gyrus 0 0 236 0
8 Right_Middle_Frontal_Gyrus 0 0 246 0
9 Left_Inferior_Frontal_Gyrus_pars_triangularis 0 0 255 0
10 Right_Inferior_Frontal_Gyrus_pars_triangularis 0 9 255 0
11 Left_Inferior_Frontal_Gyrus_pars_opercularis 0 19 255 0
12 Right_Inferior_Frontal_Gyrus_pars_opercularis 0 28 255 0
13 Left_Precentral_Gyrus 0 38 255 0
14 Right_Precentral_Gyrus 0 47 255 0
15 Left_Temporal_Pole 0 57 255 0
16 Right_Temporal_Pole 0 66 255 0
17 Left_Superior_Temporal_Gyrus_anterior_division 0 76 255 0
18 Right_Superior_Temporal_Gyrus_anterior_division 0 85 255 0
19 Left_Superior_Temporal_Gyrus_posterior_division 0 94 255 0
20 Right_Superior_Temporal_Gyrus_posterior_division 0 104 255 0
21 Left_Middle_Temporal_Gyrus_anterior_division 0 113 255 0
22 Right_Middle_Temporal_Gyrus_anterior_division 0 123 255 0
23 Left_Middle_Temporal_Gyrus_posterior_division 0 132 255 0
24 Right_Middle_Temporal_Gyrus_posterior_division 0 142 255 0
25 Left_Middle_Temporal_Gyrus_temporooccipital_part 0 151 255 0
26 Right_Middle_Temporal_Gyrus_temporooccipital_part 0 161 255 0
27 Left_Inferior_Temporal_Gyrus_anterior_division 0 170 255 0
28 Right_Inferior_Temporal_Gyrus_anterior_division 0 179 255 0
29 Left_Inferior_Temporal_Gyrus_posterior_division 0 189 255 0
30 Right_Inferior_Temporal_Gyrus_posterior_division 0 198 255 0
31 Left_Inferior_Temporal_Gyrus_temporooccipital_part 0 208 255 0
32 Right_Inferior_Temporal_Gyrus_temporooccipital_part 0 217 255 0
33 Left_Postcentral_Gyrus 0 227 255 0
34 Right_Postcentral_Gyrus 0 236 255 0
35 Left_Superior_Parietal_Lobule 0 246 255 0
36 Right_Superior_Parietal_Lobule 0 255 255 0
37 Left_Supramarginal_Gyrus_anterior_division 9 255 246 0
38 Right_Supramarginal_Gyrus_anterior_division 19 255 236 0
39 Left_Supramarginal_Gyrus_posterior_division 28 255 227 0
40 Right_Supramarginal_Gyrus_posterior_division 38 255 217 0
41 Left_Angular_Gyrus 47 255 208 0
42 Right_Angular_Gyrus 57 255 198 0
43 Left_Lateral_Occipital_Cortex_superior_division 66 255 189 0
44 Right_Lateral_Occipital_Cortex_superior_division 76 255 179 0
45 Left_Lateral_Occipital_Cortex_inferior_division 85 255 170 0
46 Right_Lateral_Occipital_Cortex_inferior_division 94 255 161 0
47 Left_Intracalcarine_Cortex 104 255 151 0
48 Right_Intracalcarine_Cortex 113 255 142 0
49 Left_Frontal_Medial_Cortex 123 255 132 0
50 Right_Frontal_Medial_Cortex 132 255 123 0
51 Left_Juxtapositional_Lobule_Cortex 142 255 113 0
52 Right_Juxtapositional_Lobule_Cortex 151 255 104 0
53 Left_Subcallosal_Cortex 161 255 94 0
54 Right_Subcallosal_Cortex 170 255 85 0
55 Left_Paracingulate_Gyrus 179 255 76 0
56 Right_Paracingulate_Gyrus 189 255 66 0
57 Left_Cingulate_Gyrus_anterior_division 198 255 57 0
58 Right_Cingulate_Gyrus_anterior_division 208 255 47 0
59 Left_Cingulate_Gyrus_posterior_division 217 255 38 0
60 Right_Cingulate_Gyrus_posterior_division 227 255 28 0
61 Left_Precuneous_Cortex 236 255 19 0
62 Right_Precuneous_Cortex 246 255 9 0
63 Left_Cuneal_Cortex 255 255 0 0
64 Right_Cuneal_Cortex 255 246 0 0
65 Left_Frontal_Orbital_Cortex 255 236 0 0
66 Right_Frontal_Orbital_Cortex 255 227 0 0
67 Left_Parahippocampal_Gyrus_anterior_division 255 217 0 0
68 Right_Parahippocampal_Gyrus_anterior_division 255 208 0 0
69 Left_Parahippocampal_Gyrus_posterior_division 255 198 0 0
70 Right_Parahippocampal_Gyrus_posterior_division 255 189 0 0
71 Left_Lingual_Gyrus 255 179 0 0
72 Right_Lingual_Gyrus 255 170 0 0
73 Left_Temporal_Fusiform_Cortex_anterior_division 255 161 0 0
74 Right_Temporal_Fusiform_Cortex_anterior_division 255 151 0 0
75 Left_Temporal_Fusiform_Cortex_posterior_division 255 142 0 0
76 Right_Temporal_Fusiform_Cortex_posterior_division 255 132 0 0
77 Left_Temporal_Occipital_Fusiform_Cortex 255 123 0 0
78 Right_Temporal_Occipital_Fusiform_Cortex 255 113 0 0
79 Left_Occipital_Fusiform_Gyrus 255 104 0 0
80 Right_Occipital_Fusiform_Gyrus 255 94 0 0
81 Left_Frontal_Operculum_Cortex 255 85 0 0
82 Right_Frontal_Operculum_Cortex 255 76 0 0
83 Left_Central_Opercular_Cortex 255 66 0 0
84 Right_Central_Opercular_Cortex 255 57 0 0
85 Left_Parietal_Operculum_Cortex 255 47 0 0
86 Right_Parietal_Operculum_Cortex 255 38 0 0
87 Left_Planum_Polare 255 28 0 0
88 Right_Planum_Polare 255 19 0 0
89 Left_Heschl's_Gyrus_(includes_H1_and_H2) 255 9 0 0
90 Right_Heschl's_Gyrus_(includes_H1_and_H2) 255 0 0 0
91 Left_Planum_Temporale 246 0 0 0
92 Right_Planum_Temporale 236 0 0 0
93 Left_Supracalcarine_Cortex 227 0 0 0
94 Right_Supracalcarine_Cortex 217 0 0 0
95 Left_Occipital_Pole 208 0 0 0
96 Right_Occipital_Pole 198 0 0 0
